country,institution,programme_name_exact,min_prior_ects,accepts_3yr_bachelor,entry_requirement_note,source_url
Czechia,Academy of Performing Arts in Prague - Film and TV School (FAMU),Directing Cinema and Digital Media (MA),NOT_FOUND,yes,"No credit/ECTS floor published and no field restriction: the programme is described as ""a three-year follow-up Master's program for graduate students who already received a BA degree in Cinema or another field"". English at B2 (CEFR) minimum. Selection is by talent test: round one, five committee members assess submitted materials (knowledge of the craft of filmmaking, ability to develop dramatic character and plot, ability to convey story audiovisually); round two by video call. Application window for 2027/28: 2 November 2026 to 21 January 2027. FAMU general admission requirements 2027/28 add: bachelor completed (or final year) plus the foreign-diploma recognition procedure required to enrol in September. No recency rule published.",https://www.famu.cz/en/departments/famu-international-fi/master-studies/directing
Estonia,Estonian Academy of Arts (EKA),Animation MA,NOT_FOUND,yes,"No prior-ECTS floor published. EKA MA admissions: ""The requirement for admission to master level studies is a bachelor's degree, higher education obtained on the basis of professional higher education curriculum, or other relevant qualification that gives access to master level studies in Estonia."" No field restriction for Animation beyond ""Must hold a bachelor's degree"" plus English at B2. GRADE FLOOR (behaves like a hard cutoff): ""Applicants need to have a bachelor's degree or its equivalent, and at least 60% of the highest possible CGPA to be eligible to apply to our master's degree programmes."" Foreign qualifications are recognised ""on the basis of assessments and opinions of the Estonian ENIC/NARIC Centre"". Tunisia is NOT listed on EKA's country-specific requirements page (only Nigeria, Ghana, Cameroon, Gambia, Liberia, Ethiopia, Sierra Leone, Australia, Bangladesh, Canada, China, France, Hong Kong, India, Iran, Iraq, Pakistan, USA) - unlisted countries must contact admissions@artun.ee, so document requirements for a Tunisian licence are unresolved. Application fee EUR 80. No recency rule published.",https://www.artun.ee/en/admissions/masters/admissions/
Estonia,Estonian Academy of Arts (EKA),Interaction Design MA,NOT_FOUND,yes,"No prior-ECTS floor published. Same institution-wide rule as all EKA MA programmes: ""The requirement for admission to master level studies is a bachelor's degree, higher education obtained on the basis of professional higher education curriculum, or other relevant qualification that gives access to master level studies in Estonia"", with foreign qualifications assessed by the Estonian ENIC/NARIC Centre. GRADE FLOOR: ""at least 60% of the highest possible CGPA to be eligible to apply to our master's degree programmes"". No prior-field or subject-credit requirement is published; selection is on portfolio/motivation and interview. Tunisia is not covered by EKA's country-specific requirements page - contact admissions@artun.ee. Application fee EUR 80. No recency rule published.",https://www.artun.ee/en/admissions/masters/admissions/
Estonia,Tallinn University,Documentary Film,NOT_FOUND,yes,"No prior-ECTS floor published. Tallinn University ""Requirements and Procedure for the Admission to Degree Studies"": candidates for master's studies must ""have been awarded a Bachelor's degree or a corresponding qualification"" and meet programme-specific requirements; the university may send documents to the Estonian ENIC/NARIC Centre for qualification assessment. GRADE FLOOR: ""at least 60% of the possible maximum results"" is expected. Programme page requires ""Completed Bachelor's degree or the equivalent""; no prior field is required, though ""previous study or work experience in the fields of film, media, or art"" is sought. Entrance exam out of 100: CV and creative portfolio 35%, interview 20%, creative assignment 35%, additional interview 10%; 80+ guarantees admission, 70-79 ranked competitively, minimum 60 over the first three rounds to reach the additional interview. Own camera needed for the creative task. No recency rule published.",https://www.tlu.ee/en/bfm/documentary-film
Estonia,Tallinn University,Communication Management,NOT_FOUND,yes,"No prior-ECTS floor published. Institution-wide rule: master's candidates must ""have been awarded a Bachelor's degree or a corresponding qualification"" and meet programme-specific requirements, with foreign qualifications assessable via the Estonian ENIC/NARIC Centre; GRADE FLOOR of ""at least 60% of the possible maximum results"". Programme page requires only a ""Completed Bachelor's degree"" with no restriction on the field of prior study and no subject-credit prerequisites. Entrance exam: motivation letter 50% and online (Zoom) interview 50%, each scored out of 50; minimum 70 points combined required for admission. Proof of English proficiency required. No recency rule published.",https://www.tlu.ee/en/bfm/communication-management
Hungary,Corvinus University of Budapest,Communication and Media Studies,NOT_FOUND,conditional,"No total prior-ECTS floor published; bachelor degree required and the credit recognition procedure is MANDATORY for holders of a foreign bachelor degree. Official 2026 credit-recognition table (unchanged from 2025): credits required for entry 30 ECTS, minimum credits required for entry 30 ECTS - i.e. the full and minimum requirements coincide, so there is NO catch-up allowance. ""To be admitted to the Master's programme, you must have at least 30 ECTS credits in the listed subject areas. Business and Management, Network Communication, Human Resources, Cultural Anthropology, Science of Culture, Communication, Marketing, Media Theory, Media Culture, Media Literacy, Work Psychology, Foundations of Interculture, Arts and Arts Communication, Linguistics, International Communication, Special Media Literacy, Sociology, Social Psychology, PR."" AMBIGUITY: the 30 ECTS is a single pooled figure across that subject list with no per-category split published. No recency rule found.",https://www.uni-corvinus.hu/downloads/cpon.15z9p5u/honnan-hova-tabla-2026-intezmenyi-2026-01-15-1.pdf
Hungary,Moholy-Nagy University of Art and Design (MOME),Animation MA in English,NOT_FOUND,yes,"No prior-ECTS floor and no subject-credit table published (unlike Corvinus, MOME publishes no credit-recognition credit categories for its English-language MAs). Official requirement: ""A university degree (bachelor's degree/college degree or master's degree) is a precondition for applying to our masters' programmes. Please note that foreign degrees must be accredited and equivalent to a Hungarian bachelor's degree."" Those graduating in the current year must supply an official letter confirming graduation. Language: B2 English (higher preferred). Selection: professional portfolio reviewed by a committee of professors, then an admission interview (online for international applicants) assessing professional preparedness, creative vision and general/cultural knowledge. Portfolio max 500 MB, must demonstrate prior experience and artistic skills relevant to animation. No recency rule published. AMBIGUITY: ""accredited and equivalent to a Hungarian bachelor's degree"" is the only lever by which a 3-year 180 ECTS licence could be questioned; no duration or credit threshold is stated.",https://mome.hu/en/application/animation-ma-in-english-application
Hungary,Moholy-Nagy University of Art and Design (MOME),Interaction Design MA in English,NOT_FOUND,yes,"No prior-ECTS floor and no subject-credit table published. Official requirement is identical across MOME's English MAs: ""A university degree (bachelor's degree/college degree or master's degree) is a precondition for applying to our masters' programmes. Please note that foreign degrees must be accredited and equivalent to a Hungarian bachelor's degree."" B2 English minimum. Selection by portfolio plus interview; the portfolio should contain case studies of digital product work (apps, websites), and school, fictional or redesign projects are explicitly acceptable, with no minimum page count (10-50 recommended). MOME materials list animation, media design, photography, design, object creation, design graphics, textile design, architecture and design culture as relevant bachelor backgrounds, but the published precondition is any university degree. No recency rule published.",https://mome.hu/en/application/interaction-design-ma-in-english-application
Hungary,Moholy-Nagy University of Art and Design (MOME),Photography MA in English,NOT_FOUND,yes,"No prior-ECTS floor and no subject-credit table published. Official requirement: ""A university degree (bachelor's degree/college degree or master's degree) is a precondition for applying to our masters' programmes. Please note that foreign degrees must be accredited and equivalent to a Hungarian bachelor's degree."" B2 English minimum. Selection by portfolio (photographic work, ideally 3-4 projects or 20-30 photographs, photo book designs, installation documentation, each with a short description) reviewed by a committee, followed by an admission interview, held online for international applicants. No prior field of study is required and no recency rule is published.",https://mome.hu/en/application/photography-ma-in-english-application
Poland,Polish-Japanese Academy of Information Technology (PJAIT/PJATK),"Graphic Design and Multimedia Art (second-cycle, full-time, English-language)",NOT_FOUND,yes,"No prior-ECTS floor published. Official admission rules: ""Candidates for full-time second-cycle studies must hold a Master's or Bachelor's degree (a degree in arts is not required)"" - explicitly no field restriction, though ""candidates may need to supplement individual subjects or complete additional coursework if their bachelor's degree lacks required knowledge"" (no ECTS quantities attached). Selection is by portfolio (single PDF, max 25 MB, min 100 DPI, each work with title, year, description and technique, submitted three business days before the interview) plus an interview at which the candidate presents the proposed master's project concept; no written entrance exam. English B2 certificate required. NON-EU DOCUMENT GATE relevant to a Tunisian licence: a written decision of the NAWA Director confirming eligibility to continue studies is required for diplomas issued outside the EU/EFTA/OECD/Ukraine/China, and apostille/legalisation is required (Tunisia is not on the exemption list). Programme is 3 semesters full-time. No recency rule published.",https://pja.edu.pl/en/projektowanie-graficzne-i-sztuka-multimediow/projektowanie-graficzne-i-sztuka-multimediow-studia-ii-stopnia-stacjonarne-anglojezyczne/zasady-rekrutacji/
