track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence,entry_requirement_note,entry_requirement_source_url
A,Croatia,Zagreb,Algebra Bernays University,private-accredited-by-state,Digital Marketing,Graduate Study Programme - Digital Marketing,Algebra Bernays University,EN,NOT_FOUND,NOT_FOUND,10,5490 (rate for holders of an undergraduate degree from another institution; 5280 for Algebra graduates; academic year 2025/2026) PRIOR_CYCLE,https://www.algebra.hr/sveuciliste/en/admissions/tuition-fee/tuition-fees-2025-2026/tuition-fees-for-international-students-outside-eu-eaa/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,English language requirements published at https://www.algebra.hr/sveuciliste/en/admissions/english-language-requirements/,NOT_FOUND,no,no,NOT_FOUND,https://www.algebra.hr/sveuciliste/en/graduate-study-programmes/digital-marketing/,NOT_FOUND,"Marketing-analytics oriented graduate programme delivered entirely in English. Delivery is blended (online plus campus) or fully online; an optional dual degree with Goldsmiths, University of London is offered alongside the Croatian degree.",2026-08-16,low,NOT_FOUND,NOT_FOUND
A,Croatia,Zagreb,Algebra Bernays University,private-accredited-by-state,Economics of Digital Business,Graduate Study Programme - Economics of Digital Business,Algebra Bernays University,EN,NOT_FOUND,NOT_FOUND,10,5490 (rate for holders of an undergraduate degree from another institution; 5280 for Algebra graduates; academic year 2025/2026) PRIOR_CYCLE,https://www.algebra.hr/sveuciliste/en/admissions/tuition-fee/tuition-fees-2025-2026/tuition-fees-for-international-students-outside-eu-eaa/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,English language requirements published at https://www.algebra.hr/sveuciliste/en/admissions/english-language-requirements/,NOT_FOUND,no,no,NOT_FOUND,https://www.algebra.hr/sveuciliste/en/graduate-study-programmes/economics-of-digital-business/,NOT_FOUND,"Digital-business economics graduate programme delivered entirely in English. Delivery is blended (online plus campus) or fully online; an optional dual degree with Goldsmiths, University of London is offered alongside the Croatian degree.",2026-08-16,low,NOT_FOUND,NOT_FOUND
A,Cyprus,Limassol,University of Limassol (formerly CIIM),private-accredited-by-state,MSc in Business Intelligence and Data Analytics,"MSc, accredited by CYQAA (Cyprus Agency of Quality Assurance and Accreditation) to Spring Semester 2027 and recognised by KYSATS",CIIM Business School / Department of Information Technologies,EN,14,90,NOT_FOUND,8930,https://www.uol.ac.cy/Tuition-Fees/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,conditional,"IELTS 5.5 or TOEFL 550 paper / 250 computer, or a degree taught in English",no,no,no,yes - satisfactory quantitative skills evidenced by quantitative courses taken during the bachelor degree,https://www.uol.ac.cy/en/program/msc-bida-program,NOT_FOUND,"On-campus, English-taught, 90 ECTS over 14 months with core modules in database management, data mining, big data and Python that overlap the applicant's existing stack. EUR 8,930 is the total programme fee in the university's published 2026-2027 schedule, which does not list a separate non-EU rate.",2026-08-16,medium,"Admissions Requirements: ""Bachelor's degree and transcripts from an accredited program. In terms of GPA, we expect 2:2 and above from UK schools, 3.0 and above from US schools, and 6.5 and above or the equivalent from Cypriot and Greek Universities and colleges."" Also: ""Satisfactory quantitative skills as evidenced by the quantitative courses they have taken during their Bachelor's degree study."" No credit volume and no minimum duration of prior study is published; a 3-year 180-ECTS licence is not excluded by the wording, but the quantitative-coursework check is an individual assessment.",https://www.uol.ac.cy/en/program/msc-bida-program
A,Cyprus,Paphos,American University of Beirut - Mediterraneo (AUB Mediterraneo),private-accredited-by-state,Master of Science in Business Analytics (MSBA),"MS, accredited by CYQAA to Spring Semester 2028",Faculty of Business,EN,18,90,NOT_FOUND,19200,https://www.aubmed.ac.cy/Admissions/Pages/Graduate-Tuition-and-Financial-Assistance.aspx,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,no,NOT_FOUND,NOT_FOUND,https://www.aubmed.ac.cy/Pages/Master-of-Science-in-Business-Analytics.aspx,NOT_FOUND,"Tuition is charged at EUR 320 per ECTS, EUR 19,200 per 60-ECTS year on the 2025-2026 schedule PRIOR_CYCLE, and is not differentiated by nationality - the published discounts (10-20 percent AUB Europe Scholarship) apply only to EU/UK/EEA nationals, so a Tunisian applicant pays the full rate. Programme is 90 ECTS with an MSBA bootcamp prerequisite.",2026-08-16,medium,"AMBIGUOUS - no prior-degree rule published. The official Graduate Admissions page lists only documentary requirements: ""Official transcripts from all institutions previously attended providing a complete record of study. Statement of purpose. Resume or CV. English language requirement (upon admission and prior to matriculation)."" It states no required degree type, credit volume, duration or GPA, and the MSBA programme page carries no admission section. Prior credit volume acceptable for entry cannot be established from published sources; applicant must ask admissions directly.",https://www.aubmed.ac.cy/Admissions/Pages/Graduate-Admissions.aspx
A,Czechia,Prague,Prague University of Economics and Business (VSE),public,Economic Data Analysis,Ing. (inzenyr) - second-cycle master's degree accredited by the Czech Ministry of Education (MSMT),Faculty of Informatics and Statistics,EN,24,NOT_FOUND,9,"5000 (2500 EUR per semester, academic year 2026/2027)",https://fis.vse.cz/english/apply/,NOT_FOUND,2027-02-28,https://fis.vse.cz/english/admissions/admissions/master/,180,yes,"IELTS 6.0, TOEFL iBT 78, FCE/CAE/CPE or Duolingo 110; waived if the bachelor was taught in English","Admission exam: CV assessment 20 percent, oral online examination 80 percent",no,no,Bachelor's degree in a related field recommended,https://fis.vse.cz/english/about/about-the-programmes/economic-data-analysis/,NOT_FOUND,"Applications for 2026/2027 closed; the 2027/2028 round opens November 2026, matching the working assumption of an autumn 2027 intake. Round I (to 28 Feb 2027) is the one recommended for visa-required applicants.",2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Czechia,Prague,Prague University of Economics and Business (VSE),public,Information Systems Management,Ing. (inzenyr) - second-cycle master's degree accredited by the Czech Ministry of Education (MSMT),Faculty of Informatics and Statistics,EN,24,NOT_FOUND,9,"5000 (2500 EUR per semester, academic year 2026/2027)",https://fis.vse.cz/english/apply/,NOT_FOUND,2027-02-28,https://fis.vse.cz/english/admissions/admissions/master/,180,yes,"IELTS 6.0, TOEFL iBT 78, FCE/CAE/CPE or Duolingo 110; waived if the bachelor was taught in English","Admission exam: CV assessment 20 percent, oral online examination 80 percent",no,no,Bachelor's degree in a related field recommended,https://fis.vse.cz/english/admissions/admissions/master/,NOT_FOUND,"Applications for 2026/2027 closed; the 2027/2028 round opens November 2026, matching the working assumption of an autumn 2027 intake. Round I (to 28 Feb 2027) is the one recommended for visa-required applicants.",2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Denmark,Aalborg,Aalborg University,public,Economics and Business Administration - Business Data Science,Master of Science (MSc) in Economics and Business Administration,Aalborg University Business School,EN,24,120,September,7450 (DKK 55600/yr; DKK 27800 = EUR 3725 per semester),https://www.en.aau.dk/education/apply/master/finance-and-fees,NOT_FOUND,2027-01-15,https://www.en.aau.dk/education/apply/master/how-and-when-to-apply,180,yes,English at Danish B level plus an AAU-approved English test for English-taught master's programmes,Application fee EUR 150 for non-EU/EEA applicants,n/a,no,NOT_FOUND,https://www.en.aau.dk/education/master/economics-and-business-administration/business-data-science,NOT_FOUND,Lowest verified non-EU tuition for Track A in the territory. Requires a relevant recognised bachelor equivalent to a Danish 180-ECTS degree; subject-credit thresholds are not published on the English pages.,2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,Denmark,Aarhus,Aarhus University,public,MSc in Economics and Business Administration - Business Intelligence,Master of Science (MSc) in Economics and Business Administration,"Aarhus BSS, School of Business and Social Sciences",EN,24,120,September,"13000 (EUR 13000/yr for 60 ECTS, academic year 2026/27)",https://masters.au.dk/tuitionfees/current-tuition-fee-rates,NOT_FOUND,2027-01-15,https://masters.au.dk/deadlines-and-important-dates/timeline-summer-non-eu,180,conditional,Aarhus University English language requirements (specific score not stated on the programme page),Application fee EUR 150 for non-EU/EEA applicants (covers up to three AU applications),n/a,no,"85 ECTS of specified business subjects incl. 10 ECTS quantitative methods or statistics, 7.5 ECTS each in marketing, finance, accounting and organisation/leadership, 5 ECTS each in microeconomics and operations management, plus a 10 ECTS bachelor project",https://masters.au.dk/businessintelligence,NOT_FOUND,Requires 85 ECTS of prescribed business coursework including 10 ECTS of quantitative methods. Limited intake with ranked selection among qualified applicants.,2026-08-16,high,NOT_FOUND,NOT_FOUND
A,Denmark,Frederiksberg (Copenhagen),Copenhagen Business School (CBS),public,MSc in Business Administration and Data Science,"Master of Science (MSc), 120 ECTS",Copenhagen Business School,EN,24,120,September,"16000 (EUR 16000/yr; DKK 120000/yr, EUR 8000 per semester)",https://www.cbs.dk/en/study/graduate/admission/non-eueea-citizens,NOT_FOUND,2027-01-15,https://www.cbs.dk/en/study/graduate/admission/non-eueea-citizens,180,yes,English at Danish A level; IELTS Academic 7.0 overall with 6.0 in each component or TOEFL iBT 94,Application fee EUR 150 for non-EU/EEA applicants,n/a,no,"Minimum 30 ECTS across quantitative methods (statistics, mathematics, econometrics), information technology (programming/computer science) and/or economics",https://www.cbs.dk/en/study/graduate/msc-in-business-administration-and-data-science,NOT_FOUND,A three-year 180-ECTS bachelor is explicitly accepted and the 30-ECTS quantitative/IT requirement matches a Business Intelligence licence. Non-EU applicants must apply in Group 2 by 15 January.,2026-08-16,high,NOT_FOUND,NOT_FOUND
A,Finland,Oulu,University of Oulu,public,"Business Analytics, Master of Science (Economics and Business Administration) (2 years)",Master of Science (Economics and Business Administration),Oulu Business School,EN,24,120,autumn,12000 (EUR 12000/yr),https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000001405,9600 (EUR 800/month Migri residence-permit requirement),2026-01-21 PRIOR_CYCLE,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000001405,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,n/a,no,NOT_FOUND,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000001405,NOT_FOUND,Foreign bachelor's degrees are listed as qualifying prior education; 20 study places. Studyinfo records no scholarship for this programme.,2026-08-16,high,NOT_FOUND,NOT_FOUND
A,Finland,Joensuu,University of Eastern Finland,public,"Master's programme in Digital Marketing and Analytics, Joensuu, Master of Science (Economics and Business Administration) (2 years)",Master of Science (Economics and Business Administration),Faculty of Social Sciences and Business Studies,EN,24,120,autumn,12000 (EUR 12000/yr),https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000033022,9600 (EUR 800/month Migri residence-permit requirement),2026-01-21 PRIOR_CYCLE,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000033022,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,n/a,no,NOT_FOUND,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000033022,NOT_FOUND,"Marketing-analytics degree combining digital marketing, platform economy and customer analytics. Also offered on the Kuopio campus with the same fee and application period; Studyinfo records no scholarship.",2026-08-16,high,NOT_FOUND,NOT_FOUND
A,Finland,Espoo,Aalto University,public,"Information and Service Management, Master of Science (Economics and Business Administration)",Master of Science (Economics and Business Administration),Aalto University School of Business,EN,24,120,autumn,15000 (EUR 15000/yr),https://www.aalto.fi/en/study-options/information-and-service-management-master-of-science-economics-and-business-administration,9600 (EUR 800/month Migri residence-permit requirement),2026-01-02 PRIOR_CYCLE,https://www.aalto.fi/en/study-options/information-and-service-management-master-of-science-economics-and-business-administration,180,yes,NOT_FOUND,"GMAT minimum 550 / GMAT Focus 515 / GRE 154 verbal and 155 quantitative, mandatory for applicants with a degree from abroad or from a university of applied sciences; application fee EUR 100",n/a,no,"Minimum 24 ECTS in logistics, management science, information systems science, technology management, business mathematics or statistics (Admission Group 2)",https://www.aalto.fi/en/study-options/information-and-service-management-master-of-science-economics-and-business-administration,NOT_FOUND,"GMAT or GRE is mandatory for holders of a foreign bachelor's degree, and 24 ECTS of listed quantitative/IS studies are required. Tuition waivers of 0-100% are available.",2026-08-16,high,NOT_FOUND,NOT_FOUND
A,Finland,Lappeenranta,LUT University,public,Master's Programme in Business Analytics,Master of Science in Economics and Business Administration,LUT Business School,EN,24,120,autumn,15000 (EUR 15000/yr),https://www.lut.fi/en/studies/kauppatieteet/masters-programme-business-analytics,9600 (EUR 800/month Migri residence-permit requirement),2027-03-31,https://www.lut.fi/en/studies/kauppatieteet/masters-programme-business-analytics,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,n/a,no,"Bachelor in business administration, applied mathematics, IT or computer science, engineering, statistics, management science or decision sciences",https://www.lut.fi/en/studies/kauppatieteet/masters-programme-business-analytics,NOT_FOUND,"Rolling admission for the next intake runs 1 October 2026 to 31 March 2027, the only current-cycle deadline verified in the territory. Business-administration bachelors are explicitly eligible.",2026-08-16,high,NOT_FOUND,NOT_FOUND
A,France,Aix-en-Provence,Aix-Marseille Universite - Aix-Marseille School of Economics,public,"Master Econometrics, Statistics (M1 Econometrics Statistics + M2 Econometrics Data Science)",Diplome national de master delivered by Aix-Marseille Universite,Aix-Marseille School of Economics / Faculte d'Economie et de Gestion,EN,24,NOT_FOUND,NOT_FOUND,3950,https://www.campusfrance.org/en/tuition-fees-France,NOT_FOUND,NOT_FOUND,NOT_FOUND,180,NOT_FOUND,NOT_FOUND,NOT_FOUND,no,no,Quantitative economics/econometrics background; M2 entry requires a Master 1 in economics with a strong quantitative focus,https://www.amse-aixmarseille.fr/en/study/master-econometrics-statistics,yes - APS temporary residence permit available to master's-level graduates,"M1 can be followed in a full-English curriculum and the M2 Econometrics Data Science track is taught entirely in English, covering econometrics, machine learning and big data. Tuition recorded is the national non-EU differentiated master rate for 2026-2027; an AMU-specific exemption policy was not verified.",2026-08-16,low,NOT_FOUND,NOT_FOUND
A,France,Toulouse,Universite Toulouse Capitole - Toulouse School of Economics,public,Master in Data Science for Social Sciences (D3S),Diplome national de master delivered by Universite Toulouse Capitole,Toulouse School of Economics,EN,24,NOT_FOUND,September,5755 PRIOR_CYCLE,https://www.tse-fr.eu/admissions,NOT_FOUND,2026-02-02 PRIOR_CYCLE,https://www.tse-fr.eu/admissions,180,conditional,"International track: TOEFL iBT 95/120, or IELTS 7/9, or Cambridge C1",GRE mandatory for applicants holding a foreign degree (no minimum score set),no,no,Strong mathematics and statistics background expected for the international track,https://www.tse-fr.eu/admissions,yes - APS temporary residence permit available to master's-level graduates,"Entry for a 180-ECTS licence holder is at Master Year 1; TSE states a four-year bachelor is required for direct Year 2 entry. The international (English) track carries an additional EUR 5,500 tuition on top of the EUR 255 national registration fee, and TSE operates a EUR 5,500 fee-waiver scheme.",2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,France,Paris,emlyon business school,private-accredited-by-state,Master in Data Science & Artificial Intelligence Strategy,"Master's Grade degree; validates the DipViGrM Diplome Specialise en Management de l'Innovation, level 7, RNCP 41017 - not a Mastere Specialise",emlyon business school,EN,24,NOT_FOUND,September,13750 year 1 / 24750 year 2 PRIOR_CYCLE,https://em-lyon.com/en/student/master/master-data-science-and-ai-strategy,NOT_FOUND,2026-08-24 PRIOR_CYCLE,https://em-lyon.com/en/student/master/master-data-science-and-ai-strategy,180,yes,"TOEFL, TOEIC, IELTS or Cambridge required; exemption for native speakers or 3+ years of tertiary education in English","GMAT/GRE optional, considered for merit scholarships",no,no,Year 1 entry requires a Licence/Bachelor of 180 ECTS minimum; Year 2 direct entry requires 240 ECTS,https://em-lyon.com/en/student/master/master-data-science-and-ai-strategy,yes - APS temporary residence permit available to master's-level graduates,"Year 1 entry is explicitly open at 180 ECTS, so the applicant enters the 24-month route. Content spans data science, machine learning, big data, cloud, business analytics and AI strategy.",2026-08-16,high,NOT_FOUND,NOT_FOUND
A,France,Lille,IESEG School of Management,private-accredited-by-state,Master in AI & Data Analytics for Business,"State-recognised Grade de Master via the DESMI (Diplome d'Etudes Specialisees en Management International), registered RNCP41034 - not a Mastere Specialise",IESEG School of Management,EN,12,120,September,23300,https://www.ieseg.fr/en/programs/masters-science/msc-big-data/,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,https://www.ieseg.fr/en/programs/masters-science/msc-big-data/,yes - APS temporary residence permit available to master's-level graduates,"Programme is three terms plus a capstone project, 120 ECTS, delivered in English on the Lille campus. A fast-track (two-term) option is priced at EUR 20,300.",2026-08-16,medium,NOT_FOUND,NOT_FOUND
A,France,Cergy,ESSEC Business School (joint with CentraleSupelec),private-accredited-by-state,Master in Data Sciences & Business Analytics (DSBA),"Master's degree authorised by the French Ministry of Higher Education to award a recognised BAC+5 degree with the grade de master, after CEFDG evaluation - not a Mastere Specialise",ESSEC Business School / CentraleSupelec,EN,24,NOT_FOUND,NOT_FOUND,24500,https://www.essec.edu/en/program/master-data-sciences-business-analytics/,NOT_FOUND,NOT_FOUND,NOT_FOUND,180,conditional,TOEFL iBT 95 or IELTS 6.5; waived after 3+ years of study in an English-taught programme,"GMAT, GRE or TAGE-MAGE mandatory",no,no,NOT_FOUND,https://www.essec.edu/en/program/master-data-sciences-business-analytics/,yes - APS temporary residence permit available to master's-level graduates,Two-year (M1+M2) track is the entry route for holders of a 3-year bachelor; the 1-year track is for candidates already at M1 level. Curriculum in data science and business analytics maps directly onto the applicant's Python/SQL/ML background. NOTE: ESSEC's grade de master authorisation expires 31/08/2027 per the CEFDG register; confirm renewal before relying on this row for a 2027 intake.,2026-08-16,medium,NOT_FOUND,NOT_FOUND
