scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
Bocconi Graduate Merit Award,Universita Commerciale Luigi Bocconi,institutional,Italy,Universita Commerciale Luigi Bocconi,A,tuition,18550 (100% waiver of Bocconi ordinary academic tuition and fees; non-EU MSc fee 18550 EUR/year),Entire legal duration of the MSc (renewed for year 2 if at least 50 credits are earned by 10 September 2027),yes,"Regulation states awards go to 'Academic profiles considered to be amongst the top applicants (International, Italian and Bocconi)' - no nationality restriction; international candidates are an explicit award category. Evaluation is primarily on academic achievement plus the full admissions dossier.",NOT_FOUND (tied to the admission round deadlines; the majority of awards are allocated in the first relevant rounds),"Automatic from the admission application - 'A separate application will not be required'; the award is communicated together with the admission result, and applying in an early round materially increases the chance of an award",apply via university (automatic on admission; online scholarship acceptance must be completed within the enrolment deadline),https://www.unibocconi.it/en/applying-bocconi/master-science-and-ma-programs/funding/bocconi-graduate-merit-awards-ay-2026-27,2026-08-16,high
EIT Digital Master School tuition fee waiver (full or half),EIT Digital / EIT Digital Education Foundation - European Institute of Innovation and Technology (EU body),EU,"Finland, Sweden, Netherlands, Italy, France, Germany, Spain, Estonia, Hungary and other partner-university countries (partner list also includes METU in Turkey, which the applicant would need to avoid as a study location)","EIT Digital Master School double-degree programmes, including Data Science, Human-Computer Interaction and Design with Extended Reality, FinTech, Master of Business Excellence, Cyber Security, Autonomous Systems and Intelligent Robots, Cloud and Networking Infrastructure and HPC, Intelligent Chips and Systems, Artificial Intelligence with Affective Computing",both,tuition,18000,Full two-year duration of the programme,"yes - the merit-based full and half tuition fee waivers are listed on the fees page as 'Available to: All students'; note the separate Scholarships of Excellence, which add a living allowance, are listed as 'Available to: Citizens of EU/EEA countries' and are therefore closed to a Tunisian applicant","Bachelor of minimum 180 ECTS from an internationally recognised university, in a field relevant to the chosen programme; IELTS Academic 6.5 with no section below 6.0, or TOEFL iBT 92 with minimums of 21 per section and 22 for writing; non-refundable application fee of EUR 75 per application and a EUR 250 registration deposit; awardees of a waiver of 50% or more must post a further EUR 500 deposit within seven days; non-EU tuition is EUR 9,000 per semester / EUR 18,000 per academic year, so a full waiver is worth EUR 18,000/year but carries no stipend",2026-02-11 PRIOR_CYCLE,"before university application - this IS the application; Period 1 (2025-10-31 to 2026-02-11 23:59 CET) is the round aimed at non-EU citizens who need a study residence permit, with offers issued 2026-03-31; Periods 2 and 3 are aimed at EU citizens and carry residence-permit risk for non-EU applicants",apply direct,https://masterschool.eitdigital.eu/admissions/fees,2026-08-16,high
Erasmus Trustfonds Scholarship,Erasmus University Rotterdam / Erasmus Trustfonds,institutional,Netherlands,Erasmus University Rotterdam (Erasmus School of Economics),A,tuition+stipend,"17500 (maximum; tuition fee waived - 21000 EUR of non-EEA fee - plus 1200 EUR/month living allowance totalling 14400 EUR, a one-off 249 EUR personal allowance and the 228 EUR immigration fee)",One academic year; can only be received once,yes,"Open to full-time first-year master students with excellent results from both EEA and non-EEA countries. Restricted to master's programmes at Erasmus School of Economics (not RSM or ESHCC). Requires Studielink registration plus documents in the EUR Application Portal by the deadline, a detailed financial statement, and completion of the immigration procedure (advised by May, hard deadline 10 July). Only one type of EUR scholarship is awarded per applicant.",2026-02-01 (applications open 2025-12-01; deadline 31 January 23:59),Programme registration in Studielink and the application documents must be submitted before the scholarship deadline; an admission offer is not required at the moment of application but only admitted students are considered,apply via university (separate scholarship application via the EUR Application Portal),https://www.eur.nl/en/ese/education/master/fees-and-scholarships/scholarships-and-grants/erasmus-trustfonds-scholarship,2026-08-16,high
DIGICREA - Digital Creativity Art&Science European Master - EMJM scholarship,European Commission / EACEA via the DIGICREA consortium (coordinator Universite Jean Monnet Saint-Etienne),EU,"France, Portugal, Poland","Universite Jean Monnet Saint-Etienne (FR, coordinator); Universidade Catolica Portuguesa - Escola das Artes (PT); University of Silesia (PL)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Bachelor of 180 ECTS required (150 ECTS accepted at application with a sworn statement that 180 will be complete before the September start); applicants choose a Sound-Music or an Image specialisation and submit an artistic portfolio of 3-5 works no more than five years old, a 2-minute video presentation and two references; English B2 minimum, C1 recommended (IELTS 6, TOEFL iBT 90, TOEIC 650); degrees awarded include a French Master of Arts in Contemporary Creation and New Technologies, a Portuguese Master in Sound and Image and a Polish Music in Multimedia",2026-02-16 PRIOR_CYCLE,"before university application - the 2026-2028 round opened 2025-11-14 and closed 2026-02-16; the consortium states the 2027-2029 call is expected in November 2026, so the equivalent deadline should fall in the first quarter of 2027",apply direct,https://master-digicrea.univ-st-etienne.fr/en/join-digicrea.html,2026-08-16,high
Data Science of Human Multimodal Communication (MULTICOM) - EMJM scholarship,European Commission / EACEA via the MULTICOM consortium (coordinator University of Murcia),EU,"Spain, Sweden, Germany",University of Murcia (ES); Lund University (SE); Friedrich-Alexander-Universitat Erlangen-Nurnberg (DE),both,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","2 years / 120 ECTS across the three partners with a thesis term that may be taken anywhere; the consortium asks for a substantial background in language and communication studies plus foundational quantitative ability, so it bridges the two tracks but is not a pure analytics or pure media-production degree",2026-03-15 PRIOR_CYCLE,before university application - applications for the first cohort (starting 2026-09-01) were open until 2026-03-15; this is a first-edition programme so its calendar may shift for 2027,apply direct,https://multicom-em.eu/,2026-08-16,medium
DocNomadsPlus - Joint Master in Documentary Filmmaking - EMJM scholarship,European Commission / EACEA via the DocNomadsPlus consortium,EU,"Portugal, Lithuania, Belgium","Universidade Lusofona, Lisbon (PT); Lithuanian Academy of Music and Theatre, Vilnius (LT); LUCA School of Arts, Brussels (BE)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Four semesters, about 24 places per cohort; entry expects a bachelor in film studies, audiovisual arts or media/communication studies, or an equivalent degree supported by a portfolio; application requires three video assignments; English B2 (IELTS Academic 6.5, TOEFL iBT 79, Duolingo 110); non-scholarship students pay EUR 15,000 for the four semesters, scholarship holders pay nothing",2027-01 (month only - exact day not yet published),"before university application - the consortium states the call opens November 2026, with the Erasmus Mundus scholarship deadline in January 2027 and a separate self-funded-only deadline in April 2027; the scholarship deadline is therefore about three months ahead of the self-funded route and eight months before the September 2027 start",apply direct,https://www.docnomadsplus.eu/application,2026-08-16,high
Erasmus Mundus Joint Master Programme on the Engineering of Data-intensive Intelligent Software Systems (EDISS) - EMJM scholarship,European Commission / EACEA via the EDISS consortium (coordinator Abo Akademi University),EU,"Finland, Spain, Italy, Sweden","Abo Akademi University (FI, coordinator); University of the Balearic Islands (ES); University of L'Aquila (IT); Malardalen University (SE)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'; EDISS scholarship page states 'All applicants are welcome to apply regardless of nationality' and lists Tunisia in its South-Mediterranean regional table","Bachelor of at least 180 ECTS in computer science, software engineering or equivalent, with coursework in programming, algorithms, data structures, computer architecture, networks, software engineering and mathematics; IELTS Academic 6.5 (no band below 6) or TOEFL iBT 93; EDISS quotes the scholarship's total value as EUR 51,600 over two years (EUR 1,400/month plus a EUR 9,000/year participation-cost waiver)",2026-01-08 PRIOR_CYCLE,"before university application - for intake 6 (2026-2028) the Erasmus Mundus scholarship round closed 2026-01-08 15:00 Helsinki time; a tuition-fee-waiver round then ran 2026-02-25 to 2026-03-11 and the self-funded round only 2026-04-13 to 2026-04-20, so the scholarship deadline preceded the self-funded one by over three months",apply direct,https://www.master-ediss.eu/admission,2026-08-16,high
Erasmus Mundus Joint Master in Artificial Intelligence (EMAI) - EMJM scholarship,European Commission / EACEA via the EMAI consortium (coordinator Universitat Pompeu Fabra),EU,"Spain, Italy, Netherlands, Slovenia","Universitat Pompeu Fabra (ES, coordinator); Sapienza University of Rome (IT); Radboud University (NL); University of Ljubljana (SI)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","First-cycle degree of at least 180 ECTS in ICT, engineering, physics, mathematics or statistics - or in another field provided the applicant has 10-60 ECTS of bridging credits set by the Academic Programme Committee; the committee checks for a minimum 12 ECTS mathematics, 12 ECTS programming and 12 ECTS computing science; final selection explicitly weighs nationality and country of residence; interviews of 10-15 minutes are held online",2025-12-20 PRIOR_CYCLE,"before university application - for the 2026 intake the Erasmus Mundus scholarship window was 2025-11-15 to 2025-12-20 23:59 CET; tuition-fee-waiver candidates then applied 2025-12-21 to 2026-03-18, worldwide self-funded 2026-03-19 to 2026-06-05 and EU self-funded 2026-06-06 to 2026-07-06 - the scholarship deadline is the earliest of four rounds and about nine months before September enrolment",apply direct,https://www.upf.edu/web/emai/access-admission,2026-08-16,high
Erasmus Mundus Joint Master in Data Engineering and Artificial Intelligence (DEAI) - EMJM scholarship,European Commission / EACEA via the DEAI consortium (coordinator Universite Libre de Bruxelles),EU,"Belgium, Spain, Italy, Austria","Universite Libre de Bruxelles (BE, coordinator); Universitat Politecnica de Catalunya (ES); University of Padua (IT); TU Wien (AT)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'; DEAI admission page states only that 'no more than 10% of the selected applicants can be of the same nationality' - no nationality is excluded","Bachelor of 180 ECTS from a university listed in WHED or named rankings; English B2 (IELTS Academic 5.5 / TOEFL iBT 72); selection scores the share of Computer Science credits in the bachelor and awards points per year of work in an 'IT or BI position'; partial scholarship variant covers participation costs only, with no stipend; self-funded partner-country participation cost is EUR 9,000/year",2026-01-13 PRIOR_CYCLE,"before university application - grant round for the 2026-2028 cohort opened 2025-10-21 and closed 2026-01-13 noon GMT; the separate self-funded non-EU round ran 2026-03-01 to 2026-04-30, so the scholarship deadline sat about 3.5 months ahead of the self-funded one and 8 months before the September start",apply direct,https://deai.ulb.be/home/students/admission/,2026-08-16,high
Erasmus Mundus Joint Masters (EMJM) scholarship,European Commission / EACEA - Erasmus+ Key Action 2,EU,EU Member States and third countries associated to Erasmus+; each consortium delivers study periods in at least two different countries,220 EMJM consortia listed in the EACEA Erasmus Mundus catalogue,both,tuition+stipend,16800,"Full programme length - 12, 18 or 24 months (max 24)","yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'",Programme Guide: 'projects cannot charge tuition fees or other mandatory costs related to student participation in the course to Erasmus Mundus scholarship holders'; students who previously held an EMJM scholarship are not eligible again; consortia must keep any single nationality under 10% of scholarships awarded,Consortium-specific; there is no central EU deadline,"before university application - consortium scholarship rounds observed for the 2026 intake closed between 2025-12-20 and 2026-01-20, i.e. 8-9 months before the September start and months ahead of ordinary non-EU university deadlines",apply direct,https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-2/erasmus-mundus,2026-08-16,high
Erasmus Mundus Master Impact Entrepreneurship (EMMIE) - EMJM scholarship,European Commission / EACEA via the EMMIE consortium (coordinator HEC Liege),EU,"Belgium, Croatia, Lithuania","HEC Liege - Universite de Liege (BE, coordinator); Zagreb School of Economics and Management (HR); ISM University of Management and Economics, Vilnius (LT)",A,tuition+stipend,16800,18 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","18-month joint master; the consortium states it is 'open to students from all academic backgrounds', which suits a Business Intelligence licence; specific ECTS, fee and per-round deadline figures were not published on the pages reachable on 2026-08-16",NOT_FOUND,before university application - the consortium states the 2026-2028 application period has closed and the next recruitment will be announced on its site; no 2027 date published as at 2026-08-16,apply direct,https://www.emmie.uliege.be/cms/c_7950389/en/emmie,2026-08-16,medium
Erasmus Mundus Master of Science in Imaging and Light in Extended Reality (IMLEX) - EMJM scholarship,European Commission / EACEA via the IMLEX consortium (coordinator University of Eastern Finland),EU,"Finland, France, Belgium (plus a Japan mobility partner)","University of Eastern Finland (FI, coordinator); Universite Jean Monnet Saint-Etienne (FR); KU Leuven (BE); Toyohashi University of Technology (JP)",B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'; IMLEX states it offers 'full scholarships with monthly allowance for all nationalities'","Entry expects a bachelor in information technology, computer science, electrical engineering, photonics or a closely related field, so a Business Intelligence licence is a partial rather than clean match; non-EU/EEA students without a scholarship pay EUR 9,000/year; applications are submitted through the Finnish national Studyinfo service",NOT_FOUND,"before university application - the consortium states its application period is open annually in December-January, which places it ahead of the Finnish national January application round and far ahead of ordinary non-EU deadlines; no specific 2027 date published as at 2026-08-16",apply direct,https://imlex.org/,2026-08-16,medium
"FilmMemory - Joint Master of Arts in European Film Heritage, History and Cultures - EMJM scholarship",European Commission / EACEA via the FilmMemory consortium,EU,"Belgium, Portugal, Ireland, Estonia","LUCA School of Arts, Brussels (BE); Universidade Lusofona, Lisbon (PT); IADT, Dublin (IE); Tallinn University Baltic Film, Media and Arts School (EE)",B,tuition+stipend,16800,24 months (scholarship max 24 months),"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Max 24 students per intake; entry requires a first-cycle degree at EQF level 6, ideally in audiovisual arts, film studies, communication or history; submission includes a one-minute motivation video, a 500-word project proposal and one of three assignment options - critical essay, video essay or data analytics project, the last of which suits a Business Intelligence background; English B2+ (IELTS 6.5, TOEFL iBT 79); self-funded tuition EUR 10,000 total, waived for scholarship holders",2026-01-20 PRIOR_CYCLE,"before university application - the 2026-2027 call closed 2026-01-20 23:59 CET, with interviews 2026-03-09 to 2026-03-13 and selection announced by 2026-05-30, i.e. the deadline fell roughly eight months before the September start",apply direct,https://filmmemory.eu/application/call-for-applicants,2026-08-16,high
Joint Master's Degree Programme in Service Design Strategies and Innovations (SDSI) - EMJM scholarship,European Commission / EACEA via the SDSI consortium,EU,"Latvia, Finland, Estonia",University of Lapland (FI); Art Academy of Latvia (LV); Estonian Academy of Arts (EE); Stockholm School of Economics in Riga (LV),B,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","Two-year full-time on-site programme based in Kuldiga, Latvia with a mobility semester in Finland and workshops in Estonia; requires a bachelor of at least 180 ECTS in Arts/Humanities, Social Sciences, Business/Administration/Law or ICT - a Business Intelligence licence falls inside two of those four fields; self-funded tuition is EUR 4,000/year for EU/EEA/Swiss students and EUR 8,000/year for others, waived for scholarship holders",NOT_FOUND,before university application - the consortium page shows 'ADMISSION 2027/2028 TBA' as at 2026-08-16; no deadline published,apply direct,https://www.sdsi.ma/,2026-08-16,medium
"Mathematical Modelling, Simulation and Data Science for Industrial and Societal Challenges (MathsDISC) - EMJM scholarship",European Commission / EACEA via the MathsDISC consortium (coordinator University of Verona),EU,"Italy, Germany, Portugal, France, Ukraine",University of Verona (IT); Bergische Universitat Wuppertal (DE); Igor Sikorsky Kyiv Polytechnic Institute (UA); University of Lisbon (PT); Universite Grenoble Alpes (FR),A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","2 years / 4 semesters / 120 ECTS; the consortium states the study path 'is made in agreement with the Selection Committee according to the student's previous mathematical training', so a Business Intelligence licence is a weaker fit than for DEAI or EDISS",2026-06-30 PRIOR_CYCLE,"before university application - the site shows a round opening 2026-05-15 and closing 2026-06-30 17:00 CEST; this is a later-than-typical EMJM cycle, so confirm against the 2027 call when published",apply direct,https://mathsdisc.eu/,2026-08-16,medium
Models and Methods of Quantitative Economics (QEM) - EMJM scholarship,European Commission / EACEA via the QEM consortium (coordinator Universite Paris 1 Pantheon-Sorbonne),EU,"France, Belgium, Spain, Italy, Poland (plus a United States mobility partner)","Universite Paris 1 Pantheon-Sorbonne (FR, coordinator); Universite catholique de Louvain (BE); Universitat Autonoma de Barcelona (ES); Universita Ca' Foscari Venezia (IT); SGH Warsaw School of Economics (PL); University of Kansas (US)",A,tuition+stipend,16800,24 months,"yes - Erasmus+ Programme Guide 2026, Erasmus Mundus action: 'EMJM scholarships can be offered to students from all over the world'; Tunisia is named under 'South-Mediterranean countries (Region 3)' in Programme Guide Part A Eligible Countries; same action page sets 'Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia'","24-month, 120-ECTS full-time research-oriented programme; heavily mathematical economics rather than applied business analytics, so it is a partial rather than direct match to a Business Intelligence licence; the only round published for 2026-2028 was self-funding, running 2025-11-18 to 2026-06-30",NOT_FOUND,before university application - the site published only a self-funded round (2025-11-18 to 2026-06-30) for 2026-2028 and no separate Erasmus Mundus scholarship deadline; on the EMJM pattern a scholarship round would sit ahead of it,apply direct,https://master-economics-qem.eu/,2026-08-16,medium
