track,country,city,institution,institution_type,programme_name_exact,degree_awarded,faculty_or_school,language,duration_months,ects,intake_months,tuition_non_eu_per_year,tuition_source_url,living_cost_estimate_year,app_deadline_non_eu,app_deadline_source_url,min_prior_ects,accepts_3yr_bachelor,english_req,other_tests,portfolio_required,work_experience_required,quantitative_prereqs,programme_url,post_study_work_visa,fit_notes,verified_date,confidence
A,Finland,Espoo,Aalto University,public,"Information and Service Management, Master of Science (Economics and Business Administration)",Master of Science (Economics and Business Administration),Aalto University School of Business,EN,24,120,autumn,15000 (EUR 15000/yr),https://www.aalto.fi/en/study-options/information-and-service-management-master-of-science-economics-and-business-administration,9600 (EUR 800/month Migri residence-permit requirement),2026-01-02 PRIOR_CYCLE,https://www.aalto.fi/en/study-options/information-and-service-management-master-of-science-economics-and-business-administration,180,yes,NOT_FOUND,"GMAT minimum 550 / GMAT Focus 515 / GRE 154 verbal and 155 quantitative, mandatory for applicants with a degree from abroad or from a university of applied sciences; application fee EUR 100",n/a,no,"Minimum 24 ECTS in logistics, management science, information systems science, technology management, business mathematics or statistics (Admission Group 2)",https://www.aalto.fi/en/study-options/information-and-service-management-master-of-science-economics-and-business-administration,NOT_FOUND,"GMAT or GRE is mandatory for holders of a foreign bachelor's degree, and 24 ECTS of listed quantitative/IS studies are required. Tuition waivers of 0-100% are available.",2026-08-16,high
A,Finland,Joensuu,University of Eastern Finland,public,"Master's programme in Digital Marketing and Analytics, Joensuu, Master of Science (Economics and Business Administration) (2 years)",Master of Science (Economics and Business Administration),Faculty of Social Sciences and Business Studies,EN,24,120,autumn,12000 (EUR 12000/yr),https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000033022,9600 (EUR 800/month Migri residence-permit requirement),2026-01-21 PRIOR_CYCLE,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000033022,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,n/a,no,NOT_FOUND,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000033022,NOT_FOUND,"Marketing-analytics degree combining digital marketing, platform economy and customer analytics. Also offered on the Kuopio campus with the same fee and application period; Studyinfo records no scholarship.",2026-08-16,high
A,Finland,Lappeenranta,LUT University,public,Master's Programme in Business Analytics,Master of Science in Economics and Business Administration,LUT Business School,EN,24,120,autumn,15000 (EUR 15000/yr),https://www.lut.fi/en/studies/kauppatieteet/masters-programme-business-analytics,9600 (EUR 800/month Migri residence-permit requirement),2027-03-31,https://www.lut.fi/en/studies/kauppatieteet/masters-programme-business-analytics,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,n/a,no,"Bachelor in business administration, applied mathematics, IT or computer science, engineering, statistics, management science or decision sciences",https://www.lut.fi/en/studies/kauppatieteet/masters-programme-business-analytics,NOT_FOUND,"Rolling admission for the next intake runs 1 October 2026 to 31 March 2027, the only current-cycle deadline verified in the territory. Business-administration bachelors are explicitly eligible.",2026-08-16,high
A,Iceland,Reykjavik,Reykjavik University,private,Digital Management and Data Analysis,"Master of Science (MSc), 90 ECTS",Department of Business and Economics,EN,14,90,autumn,NOT_FOUND,NOT_FOUND,NOT_FOUND,2027-01-31,https://www.ru.is/en/namid/um-namid/saekja-um,180,conditional,"TOEFL 577 paper-based or 91 internet-based, IELTS 6.5, or Cambridge Certificate at B2",Non-refundable processing fee ISK 16000 for non-EU/EEA/EFTA applicants,n/a,preferred,"Bachelor in business administration, computer science or related studies; knowledge of digital technology and/or work experience in programming, software evaluation, database management or IT strategy",https://www.ru.is/en/departments/dbe/stafraen-stjornun-og-gagnagreining,NOT_FOUND,"90-ECTS MSc taught in English over three terms, run jointly with computer science and engineering. Tuition rates are published only in PDF fee schedules that could not be read.",2026-08-16,low
B,Sweden,Malmo,Malmo University,public,"Media Technology: Strategic Media Development, Master's programme (Two-Year)",Master's degree (120 credits),"Faculty of Technology and Society, Department of Computer Science and Media Technology",EN,24,120,August,14319 (SEK 157500/yr; SEK 315000 total programme fee),https://mau.se/en/education/tuition-fees/,11547 (SEK 127008/yr = SEK 10584/month Migrationsverket self-support requirement) PRIOR_CYCLE,2027-01-15,https://mau.se/en/study-education/programme/tasme/,180,conditional,English 6 / English level 2,NOT_FOUND,no,no,NOT_FOUND,https://mau.se/en/study-education/programme/tasme/,NOT_FOUND,"Requires a 180-credit bachelor in media technology or a related field such as computer science, informatics, interaction design, game development or media studies. Autumn 2027 intake starts 30 August 2027.",2026-08-16,high
B,Sweden,Malmo,Malmo University,public,"Media and Communication Studies: Culture, Collaborative Media, and Creative Industries, Master's programme (Two-Year)",Master's degree (120 credits),"Faculty of Culture and Society, School of Arts and Communication",EN,24,120,August,10001 (SEK 110000/yr; SEK 220000 total programme fee),https://mau.se/en/education/tuition-fees/,11547 (SEK 127008/yr = SEK 10584/month Migrationsverket self-support requirement) PRIOR_CYCLE,2027-01-15,https://mau.se/en/study-education/programme/hamkv/,180,conditional,English 6 (Swedish upper-secondary level),NOT_FOUND,yes,no,NOT_FOUND,https://mau.se/en/study-education/programme/hamkv/,NOT_FOUND,"Requires a 180-credit bachelor in social sciences, humanities, arts or design; media production and graphic design backgrounds are listed as relevant. Selection uses a letter of intent, an experience document and work samples.",2026-08-16,high
B,Sweden,Stockholm,KTH Royal Institute of Technology,public,Master's Programme in Interactive Media Technology,Master of Science (120 credits),School of Electrical Engineering and Computer Science,EN,24,120,August,16365 (SEK 180000/yr; SEK 360000 total programme fee),https://www.kth.se/en/studies/master/interactive-media-technology/fees-interactive-media-technology-1.909979,11547 (SEK 127008/yr = SEK 10584/month Migrationsverket self-support requirement) PRIOR_CYCLE,2027-01-15,https://www.kth.se/en/studies/master/interactive-media-technology,180,yes,English 6 / English level 2; IELTS 6.5 or equivalent TOEFL,"Letter of motivation under 500 words, two letters of recommendation and a programme summary sheet",no,no,"A basic programming course and a foundational human-computer interaction course; algorithms, data structures or mathematics may be conditionally required",https://www.kth.se/en/studies/master/interactive-media-technology,NOT_FOUND,Autumn 2027 application window is 16 October 2026 to 15 January 2027 with documents due 1 February 2027. Entry rests on programming and HCI coursework rather than an artistic portfolio.,2026-08-16,high
B,Denmark,Copenhagen,Aalborg University,public,Medialogy (Copenhagen),Master of Science (MSc) in Medialogy,NOT_FOUND,EN,24,120,September,15490 (DKK 115700/yr; DKK 57850 = EUR 7745 per semester),https://www.en.aau.dk/education/apply/master/finance-and-fees,NOT_FOUND,2027-01-15,https://www.en.aau.dk/education/apply/master/how-and-when-to-apply,180,conditional,English at Danish B level plus an AAU-approved English test,Application fee EUR 150 for non-EU/EEA applicants,NOT_FOUND,no,The qualifying bachelor must provide competencies within at least two of the subject areas listed in the programme curriculum,https://www.en.aau.dk/education/master/medialogy-cph,NOT_FOUND,"Technology-side media production degree (audiovisual, interactive and immersive media) taught in English at the Copenhagen campus. Admission depends on subject-area competencies from the qualifying bachelor.",2026-08-16,medium
B,Finland,Espoo,Aalto University,public,"New Media, Master of Arts (Art and Design)",Master of Arts (Art and Design),"Aalto University School of Arts, Design and Architecture",EN,24,120,autumn,20000 (EUR 20000/yr),https://www.aalto.fi/en/study-options/new-media-master-of-arts-art-and-design,9600 (EUR 800/month Migri residence-permit requirement),2026-01-02 PRIOR_CYCLE,https://www.aalto.fi/en/study-options/new-media-master-of-arts-art-and-design,180,conditional,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,yes,no,NOT_FOUND,https://www.aalto.fi/en/study-options/new-media-master-of-arts-art-and-design,NOT_FOUND,"Expects bachelor studies in arts, design, media or technology, but applicants from other fields may demonstrate competence through the required documents. Portfolio limited to 15 pages / 100 MB.",2026-08-16,high
B,Finland,Espoo,Aalto University,public,"Film and Television Producing, Master of Arts (Art and Design)",Master of Arts (Art and Design),"Aalto University School of Arts, Design and Architecture",EN,24,120,autumn,20000 (EUR 20000/yr),https://www.aalto.fi/en/study-options/film-and-television-producing-master-of-arts-art-and-design,9600 (EUR 800/month Migri residence-permit requirement),2026-01-02 PRIOR_CYCLE,https://www.aalto.fi/en/study-options/film-and-television-producing-master-of-arts-art-and-design,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,yes,no,NOT_FOUND,https://www.aalto.fi/en/study-options/film-and-television-producing-master-of-arts-art-and-design,NOT_FOUND,The field of the prior degree is not mandated and applicants from other fields are considered. Selection rests on a producer-profile preliminary assignment and an electronic portfolio.,2026-08-16,high
B,Finland,Espoo,Aalto University,public,"Documentary Film, Master of Arts (Art and Design)",Master of Arts (Art and Design),"Aalto University School of Arts, Design and Architecture",EN,24,120,autumn,20000 (EUR 20000/yr),https://www.aalto.fi/en/study-options/documentary-film-master-of-arts-art-and-design,9600 (EUR 800/month Migri residence-permit requirement),2026-01-02 PRIOR_CYCLE,https://www.aalto.fi/en/study-options/documentary-film-master-of-arts-art-and-design,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,yes,no,NOT_FOUND,https://www.aalto.fi/en/study-options/documentary-film-master-of-arts-art-and-design,NOT_FOUND,The portfolio must contain one or two documentary films of at least five minutes each that have been publicly screened or broadcast. The field of the prior degree is not mandated.,2026-08-16,high
B,Finland,Espoo,Aalto University,public,"Sound in New Media, Master of Arts (Art and Design)",Master of Arts (Art and Design),"Aalto University School of Arts, Design and Architecture",EN,24,120,autumn,20000 (EUR 20000/yr),https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000007983,9600 (EUR 800/month Migri residence-permit requirement),2026-01-02 PRIOR_CYCLE,https://opintopolku.fi/konfo/en/toteutus/1.2.246.562.17.00000000000000007983,180,yes,NOT_FOUND,Application fee EUR 100 for non-EU/EEA applicants,yes,no,NOT_FOUND,https://www.aalto.fi/en/study-options/sound-in-new-media-master-of-arts-art-and-design,NOT_FOUND,Studyinfo states there is no intake in 2027 and the next planned intake is 2028; eight study places. Sound design and music technology major matching the applicant's music-production practice.,2026-08-16,high
