scholarship_name,funder,level,countries_covered,institutions_covered,tracks_eligible,covers,amount_eur_year,duration_covered,tunisia_eligible,other_eligibility,deadline,deadline_relative_to,application_route,url,verified_date,confidence
Bocconi Graduate Merit Award,Universita Commerciale Luigi Bocconi,institutional,Italy,Universita Commerciale Luigi Bocconi,A,tuition,18550 (100% waiver of Bocconi ordinary academic tuition and fees; non-EU MSc fee 18550 EUR/year),Entire legal duration of the MSc (renewed for year 2 if at least 50 credits are earned by 10 September 2027),yes,"Regulation states awards go to 'Academic profiles considered to be amongst the top applicants (International, Italian and Bocconi)' - no nationality restriction; international candidates are an explicit award category. Evaluation is primarily on academic achievement plus the full admissions dossier.",NOT_FOUND (tied to the admission round deadlines; the majority of awards are allocated in the first relevant rounds),"Automatic from the admission application - 'A separate application will not be required'; the award is communicated together with the admission result, and applying in an early round materially increases the chance of an award",apply via university (automatic on admission; online scholarship acceptance must be completed within the enrolment deadline),https://www.unibocconi.it/en/applying-bocconi/master-science-and-ma-programs/funding/bocconi-graduate-merit-awards-ay-2026-27,2026-08-16,high
Luiss scholarships for international students admitted to master's degree programmes,Luiss Guido Carli,institutional,Italy,Luiss Guido Carli,A,tuition,15000 (20 full waivers of the annual tuition fee) or 7500 (10 partial waivers of 50%); Luiss non-EU master fee 15000 EUR/year,One academic year (2026/2027),yes,Open to international students holding either EU/Schengen or non-EU/Schengen citizenship who are admitted through the entrance test to the first year of a Luiss master's degree programme. 30 scholarships in total.,2026-03-20 12:00 Italian time (non-EU/Schengen applicants; window opens 2026-02-23). EU/Schengen applicants: 2026-04-20.,After being admitted via the entrance test - a separate call for applications with its own window that closes BEFORE the EU deadline,apply via university (separate online call through the Student Portal dedicated to the Right to Education),https://www.luiss.it/en/orientation-and-admissions/incentives-and-support/scholarship-exemptions/aa-2026-2027/magistrali-2026-2027-academic-year/scholarships-international-students-admitted-masters-degree-programs,2026-08-16,high
UCSC International Scholarship,Universita Cattolica del Sacro Cuore,institutional,Italy,Universita Cattolica del Sacro Cuore,A,partial,2970 (reduces the flat non-EU tuition fee from 9370 EUR to 6400 EUR per year),"Renewed automatically each year, valid for a maximum of three additional years beyond the normal study period",yes,For students whose family income is produced in non-EU countries applying to 2-year Master's degree programmes. Not combinable with EDUCatt financial aid; recipients cannot switch to an income-based tuition scheme during their studies.,NOT_FOUND (applied for during the online admission application),During the admission application - requested inside the online application; the award is communicated together with the admission offer,apply via university (request made within the online admission application),https://international.unicatt.it/ucscinternational-admission-and-tuition-tuition-fees-and-scholarships-10154,2026-08-16,high
International Scholarships for NABA Masters of Arts and Academic Masters,NABA - Nuova Accademia di Belle Arti,institutional,Italy,NABA - Nuova Accademia di Belle Arti,B,partial,NOT_FOUND (the call states 'partial tuition fee coverage'; NABA non-EU master fee is 22250 EUR/year PRIOR_CYCLE),NOT_FOUND,yes,Scholarship competition explicitly 'tailored for students wishing to enrol in a NABA Master of Arts or Academic Master at the Milan or Rome campuses' and launched to 'support highly motivated and talented International students' - no nationality exclusion. For programmes starting October 2026.,2026-02-26 (for the October 2026 intake),Separate scholarship competition run in parallel with admission; deadline falls well before the programme start and before most enrolment deadlines,apply via university (separate scholarship competition application),https://www.naba.it/en/news-events/international-scholarships,2026-08-16,medium
Frankfurt School Pre-experience Master's Scholarship,Frankfurt School of Finance & Management,institutional,Germany,Frankfurt School of Finance & Management,A,partial,NOT_FOUND (the master scholarship page states only that 'Scholarships cover a partial amount of tuition'),NOT_FOUND,yes,"Open to top applicants of the pre-experience master's programmes; no nationality restriction stated. Selection on first-degree grade, admission test score (e.g. GMAT), performance in the Frankfurt School selection procedure, extracurricular activities, social commitment, intercultural skills and international experience. Awards are made continuously through the admission process on a first-come first-served basis.",30 June (completed applications for all pre-experience master's programmes must be submitted by 30 June),"Submitted with the admission application - the scholarship section is part of the online application form; 'Scholarship applications sent after the application will not be considered'. Because awards are first-come first-served, applying early materially matters.",apply via university (answer the scholarship question inside the online admission application),https://www.frankfurt-school.de/en/students-alumni/financing,2026-08-16,medium
ESMT Early Application Award,ESMT Berlin,institutional,Germany,ESMT Berlin,A,partial,4000 if admitted and applied by 31 January; 2000 if by 31 March PRIOR_CYCLE (2026 intake; total programme fee 34000-36000 EUR),One-off reduction of the total programme fee,yes,No nationality restriction. Awarded by the round in which the online application was submitted; applications must be submitted by 23:59 Berlin time on the deadline day. No scholarship essay is required for the early application discount. All 2026 Early Application Awards had been granted as at the verification date.,31 January (round one) and 31 March (round two) PRIOR_CYCLE,"Before/at the programme application - the award is determined purely by the date the admission application is submitted, so it is lost by applying late",apply via university (automatic on submitting the admission application by the round deadline),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,medium
ESMT Panzer Scholarship,ESMT Berlin (Panzer / TSH Talent Foundation),institutional,Germany,ESMT Berlin,A,partial,35000 (per scholarship; two available),NOT_FOUND,yes,"Eligibility clause: 'restricted to candidates applying to ESMT Master programs who: are aged 30 or younger; are both a citizen and current resident of a country in Africa; have founded a business or social enterprise'. Tunisia is a country in Africa, so a Tunisian citizen resident in Tunisia meets the nationality/residence test; the founder requirement is the binding condition. Recipients may also be considered for the TSH Talent Foundation Changemaker Scholarship Program (10 months of housing in Berlin plus mentorship).",NOT_FOUND,Submitted with the admission application - the scholarship essay is part of the ESMT online application,apply via university (scholarship essay inside the online admission application),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,high
ESMT Outstanding Student Leadership Scholarship,ESMT Berlin,institutional,Germany,ESMT Berlin,A,partial,8000 (up to; two scholarships available),NOT_FOUND,yes,"No nationality restriction. For candidates displaying outstanding student leadership during their bachelor's study - student clubs, student government, volunteer projects, international conferences, bachelor's internships.",NOT_FOUND,Submitted with the admission application - the scholarship essay is part of the ESMT online application,apply via university (scholarship essay inside the online admission application),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,high
ESMT High Achievers GMAT/GRE Scholarship,ESMT Berlin,institutional,Germany,ESMT Berlin,A,partial,5000 (up to; four scholarships available),NOT_FOUND,yes,"No nationality restriction. Requires a GMAT, GMAT Focus or GRE percentile rank above 94% (GMAT at least 720 or GMAT Focus at least 675); a copy of the score must accompany the scholarship essay.",NOT_FOUND,Submitted with the admission application - the scholarship essay is part of the ESMT online application,apply via university (scholarship essay inside the online admission application),https://esmt.berlin/master-programs/scholarships-financing,2026-08-16,high
Tilburg University Waiver (DEI waiver),Tilburg University,institutional,Netherlands,Tilburg University,A,partial,11950 (50% waiver of the institutional tuition fee; 2026-2027 non-EEA fee 23900 EUR),The one-year master's programme (or the two-year MSc Cognitive Science and AI),yes,"Tunisia appears by name in the page's 'List of Eligible Countries / Designated Countries'. Requires a non-EEA nationality AND completion of the most recent degree in one of the listed countries; must be the first master's at Tilburg University; regular (non-Research) one-year master's only; pre-master's students excluded; cannot be combined with any other tuition-fee waiver. 21 waivers for 2026-2027, of which 6 for Tilburg School of Economics and Management and 6 for Tilburg School of Humanities and Digital Sciences.",2026-04-01 (both the complete programme application and the waiver form must be in by this date),Both together - the programme application and the separate waiver form share the same 1 April deadline; only students directly admitted to a master's may apply,apply via university (separate Tilburg University Waiver application form),https://www.tilburguniversity.edu/education/masters-programs/tuition-fees-scholarships/dei-waiver,2026-08-16,high
RSM non-EEA Scholarship of Excellence (MSc),"Rotterdam School of Management, Erasmus University",institutional,Netherlands,Erasmus University Rotterdam (Rotterdam School of Management),A,partial,23106 (waiver of the difference between the non-EEA fee of 25800 EUR and the statutory fee of 2694 EUR in 2026-2027),"One academic year, maximum 12 months",yes,"Eligibility clause: 'Your nationality is non-EEA'; open to prospective MSc students from all non-EEA countries who do not already hold a degree from a Netherlands institution. Requires a GMAT or GRE score, English language test results, and a completed Scholarship Financial Assessment Form. Recipients must serve as an RSM Ambassador for about 8 hours a month during the academic year. Applicants cannot choose a specific scholarship - RSM assigns it.",2026-03-01 (all RSM MSc programmes; 2026-01-31 for MSc International Management/CEMS). Window opens 2025-10-01. Committee decides 2026-04-15.,Submitted alongside the programme application in OLAF; the scholarship application must be complete (GMAT/GRE included) by the scholarship deadline,apply via university (scholarship section of the OLAF admission application),https://www.rsm.nl/education/scholarships/msc-scholarships/rsm-non-eea-scholarship-of-excellence-msc/,2026-08-16,high
Erasmus Trustfonds Scholarship,Erasmus University Rotterdam / Erasmus Trustfonds,institutional,Netherlands,Erasmus University Rotterdam (Erasmus School of Economics),A,tuition+stipend,"17500 (maximum; tuition fee waived - 21000 EUR of non-EEA fee - plus 1200 EUR/month living allowance totalling 14400 EUR, a one-off 249 EUR personal allowance and the 228 EUR immigration fee)",One academic year; can only be received once,yes,"Open to full-time first-year master students with excellent results from both EEA and non-EEA countries. Restricted to master's programmes at Erasmus School of Economics (not RSM or ESHCC). Requires Studielink registration plus documents in the EUR Application Portal by the deadline, a detailed financial statement, and completion of the immigration procedure (advised by May, hard deadline 10 July). Only one type of EUR scholarship is awarded per applicant.",2026-02-01 (applications open 2025-12-01; deadline 31 January 23:59),Programme registration in Studielink and the application documents must be submitted before the scholarship deadline; an admission offer is not required at the moment of application but only admitted students are considered,apply via university (separate scholarship application via the EUR Application Portal),https://www.eur.nl/en/ese/education/master/fees-and-scholarships/scholarships-and-grants/erasmus-trustfonds-scholarship,2026-08-16,high
Maastricht University NL-High Potential Scholarship,"Maastricht University Scholarship Fund and Dutch Ministry of Education, Culture and Science",institutional,Netherlands,Maastricht University,both,tuition+stipend,21500 tuition fee waiver plus 20150 living expenses for 13 months plus 700 health and liability insurance (2026-2027 figures; amounts subject to change for 2027-2028),13 months (one-year master's) or 25 months (two-year master's),yes,"Eligibility clause: 'You hold a nationality in a country outside the EU/EEA, Switzerland or Surinam' and must not hold dual EU/EEA or Swiss nationality; must meet visa and residence-permit requirements. 21 scholarships per year; only about 2% of applicants are awarded. Only master's programmes on the published participating-programmes list are eligible. One application only, for one scholarship only. Accepting the scholarship means accepting an allocated UM room, and a two-week Pre-Academic Training in August is mandatory.","2026-02-01 scholarship deadline PRIOR_CYCLE, but the master's programme application via Studielink must be submitted by 8 December - and all admission requirements must be met by 1 February. For 2027-2028 applications open from 1 October 2026.","Two-stage and the earlier stage is the trap: apply for the programme through Studielink by 8 December to obtain a student ID, then submit the scholarship form by 1 February",apply via university (separate scholarship application form after programme registration),https://www.maastrichtuniversity.nl/studeren/toelating-inschrijving/financing-your-studies/scholarships/maastricht-university-nl-high,2026-08-16,high
VU Fellowship Programme (VUFP),Vrije Universiteit Amsterdam,institutional,Netherlands,Vrije Universiteit Amsterdam,A,tuition,"24150 (merit-based tuition fee waiver; 2026/27 non-EEA institutional fee 24150 EUR. Covers tuition only, not living costs)",The master's programme,yes,Requires a non-EEA passport with no entitlement to the lower statutory rate; a GPA at least equivalent to a Dutch 8.0; conditional or unconditional admission to a full-time English-taught master's starting September; the degree must not have been obtained in the Netherlands; and the applicant must not currently be enrolled in a Dutch bachelor's or master's. Can be combined with the NL Scholarship (5000 or 10000 EUR for the entire study period).,2026-02-01 23:59 CET (VUFP application; opens 2025-11-01). Advised master's programme application deadline 2025-12-01. Results mid-March 2026; acceptance by end of March 2026.,After registering for the master's programme via Studielink - the VUFP form is submitted through the VU personal dashboard; the advised programme deadline is two months before the scholarship deadline,apply via university (separate VUFP application via the VU dashboard),https://vu.nl/en/education/more-about/incoming-master-scholarships,2026-08-16,high
Amsterdam Merit Scholarship (AMS),University of Amsterdam,institutional,Netherlands,University of Amsterdam,both,partial,NOT_FOUND (amounts are set per Faculty or Graduate School and are not published on the central page),NOT_FOUND,yes,"Eligibility clause: 'Students who hold a non-EU/EEA passport and have applied for a degree programme at the University of Amsterdam'. Eligibility criteria, selection criteria and application instructions differ per Faculty or Graduate School.",NOT_FOUND (deadlines for the AMS differ per Faculty or Graduate School),After applying for the degree programme - applications are submitted to the Admissions Office of the relevant Graduate School,apply via university (application to the Graduate School Admissions Office),https://www.uva.nl/en/education/fees-and-funding/masters-scholarships-and-loans/amsterdam-merit-scholarship/amsterdam-merit-scholarship.html,2026-08-16,medium
UCD Global Excellence Scholarship,University College Dublin,institutional,Ireland,University College Dublin,both,tuition,26180 (100% tuition fee scholarship) or 13090 (50%); UCD non-EU master fee 26180 EUR/year,One academic year - not automatically renewed for continuing students,yes,Eligibility clause: 'ONLY open to incoming students who are classed as non-EU for tuition fee purposes'; the applicant must first hold an offer or conditional offer for an eligible UCD course (an Eligible Programmes list applies and some programmes are excluded). Tunisia appears in the country filter for this scholarship on the UCD Global scholarships listing.,"2026-02-28 PRIOR_CYCLE for graduate taught applicants from the Middle East, Africa and Pakistan regions (all other regions 2026-03-31)","After receiving a programme offer, but the Africa-region deadline is a MONTH EARLIER than the general deadline, and UCD warns it cannot guarantee that admission applications will be processed before the scholarship deadline - so the programme application must be submitted well before 28 February",apply via university (separate online scholarship application after an offer),https://www.ucd.ie/global/study-at-ucd/scholarshipsfinances/scholarships/globalexcellencescholarships/,2026-08-16,high
UCD Smurfit MSc Africa Excellence Scholarship,UCD Michael Smurfit Graduate Business School,institutional,Ireland,University College Dublin (UCD Michael Smurfit Graduate Business School),A,partial,13090 (up to 50% of tuition fees; UCD non-EU master fee 26180 EUR/year),The MSc programme,yes,"Merit-based regional scholarship for the Africa region, awarded to academically exceptional students who will act as ambassadors for the MSc and the School. Regional scope named in the scholarship title (Africa), and Tunisia appears in the country filter for UCD Smurfit scholarships on the UCD Global listing.",2026-03-31 PRIOR_CYCLE (opened 2026-01-01; status shown as Closed at the verification date),After the programme application - Smurfit states that in most cases no separate scholarship application is needed and all successful programme applicants are automatically considered once the application is received before the scholarship closing date; awards are granted on a rolling basis so early application matters,apply via university (automatic on the programme application for most Smurfit scholarships),https://www.smurfitschool.ie/admissions/scholarships/,2026-08-16,high
J.E. Cairnes School of Business & Economics Postgraduate Merit Scholarship,University of Galway,institutional,Ireland,University of Galway,A,partial,10820 (up to 50% of tuition fees; University of Galway non-EU master fee 21640 EUR/year),The taught master's programme,yes,Open to students enrolled on a taught master's in the J.E. Cairnes School of Business & Economics who obtained an H1 (first-class honours) or international equivalent in their primary degree. No nationality restriction beyond the non-EU deadline track; the scholarship sits inside University of Galway's non-EU Global Scholarships programme.,2026-04-30 (non-EU applicants; EU applicants 2026-07-25),After the offer - the candidate must have RECEIVED AND ACCEPTED the offer and PAID THE DEPOSIT by 30 April to be considered; no separate scholarship application is made,apply via university (automatic once the offer is accepted and the deposit paid),https://www.universityofgalway.ie/business-public-policy-law/cairnes/scholsprizes/businesspostgraduatemeritscholarships/,2026-08-16,high
Maynooth University Vice President International Scholar Award,Maynooth University,institutional,Ireland,Maynooth University,both,partial,7500 (tuition fee discount; two awards for postgraduate taught applicants),One year,yes,Requires non-EU fee-paying status; application to any postgraduate taught programme on campus; English language requirements met prior to application; an undergraduate degree from a university ranked in the top 500 of QS or Times Higher Education; and an undergraduate result equivalent to Irish First-Class Honours. A personal statement must be submitted with the application.,2026-03-31 (applications open 2026-02-01),"After the offer - the applicant must have ACCEPTED the offer and PAID THE DEPOSIT before 31 March 2026, the same day the scholarship application closes",apply via university (separate MS Form scholarship application with personal statement),https://www.maynoothuniversity.ie/international/scholarships,2026-08-16,high
Maynooth University International Excellence Scholarship,Maynooth University,institutional,Ireland,Maynooth University,both,partial,5000 (tuition fee discount for one year; six awards),One year,yes,"One scholarship per region: North America, Latin America, South Asia, East Asia, Southeast Asia and Rest of the World - Tunisia falls under 'Rest of the World'. Requires non-EU fee-paying status, a full-time postgraduate programme, and a minimum overall result of 80% in the primary degree. A personal statement must be submitted.",2026-03-31 (applications open 2026-02-01),"After the offer - the applicant must have ACCEPTED the offer and PAID THE DEPOSIT by 31 March 2026, the same day the scholarship application closes",apply via university (separate MS Form scholarship application with personal statement),https://www.maynoothuniversity.ie/international/scholarships,2026-08-16,high
DCU Business School International Scholarship,Dublin City University,institutional,Ireland,Dublin City University,A,partial,2000 (fee reduction on the full-time 2026-2027 non-EU tuition fee),One year,yes,Available to non-EU applicants who have received an offer to study on eligible postgraduate programmes in DCU Business School. A successful recipient of a DCU International scholarship is not then considered for another DCU scholarship such as the Merit Scholarship.,NOT_FOUND,After receiving a programme offer - the award is attached to an offer holder on an eligible programme,apply via university (automatic; only successful recipients are notified by email),https://www.dcu.ie/global/international-scholarships,2026-08-16,high
DCU Merit Scholarship,Dublin City University,institutional,Ireland,Dublin City University,both,partial,NOT_FOUND (described only as a partial merit-based scholarship),NOT_FOUND,yes,Offered to some non-EU students; no nationality restriction beyond non-EU fee status.,NOT_FOUND,Automatic from the programme application - 'You are automatically considered for a scholarship when you apply as a non-EU student to DCU'; the result is communicated with the admission decision,apply via university (automatic on the admission application),https://www.dcu.ie/global/international-scholarships,2026-08-16,high
UCC College of Business and Law Merit Based Scholarships 2026/27,University College Cork,institutional,Ireland,University College Cork,A,partial,NOT_FOUND (value not published on the UCC international scholarships table),NOT_FOUND,yes,"Listed on UCC's 'Scholarships offered to Students from outside the EU' table for taught master's programmes in the College of Business and Law, with status 'Automatic'. Detailed eligibility criteria are not published on the table page.",NOT_FOUND,Automatic - awarded on the basis of the programme application/offer without a separate scholarship application,apply via university (automatic),https://www.ucc.ie/en/scholarships/internationaltable/,2026-08-16,low
Aalto University Excellence Scholarship,Aalto University,institutional,Finland,Aalto University,both,tuition,20000 (full tuition fee waiver; Aalto non-EU master fee 20000 EUR/year). Does not cover living costs.,The normative study period of the degree (two years for a master's),yes,"Eligibility clause: only students who are liable to pay tuition fees - i.e. non-EU/EEA/Swiss citizens - may apply; EU/EEA citizens are explicitly ineligible. Merit-based, granted competitively to the highest-achieving applicants against the programme's evaluation criteria; individual programmes may decide not to grant any scholarship. Candidates are screened against EU sanctions lists.",The master's admission application deadline - 'Scholarship must be applied during the application period. You cannot apply for a scholarship after the application period.',Inside the admission application - the scholarship application is part of the application form for admission; the decision is given at the same time as the admission decision,apply via university (tick the scholarship option in the admission application form),https://www.aalto.fi/en/admission-services/scholarships-and-tuition-fees,2026-08-16,high
KTH Scholarship,KTH Royal Institute of Technology,institutional,Sweden,KTH Royal Institute of Technology,B,tuition,16365 (full tuition fee; SEK 180000/year). Does not include living costs.,"First and second year of the master's, subject to satisfactory first-year results",yes,"Must be a fee-paying student (non-EU/EEA), must have applied to a KTH master's programme as FIRST priority at universityadmissions.se and paid the application fee - a scholarship cannot be awarded for a programme listed second, third or fourth. Not available for joint Erasmus+/EIT programmes. In 2025, 65 of 803 admitted scholarship applicants (8%) were nominated. Selection weighs GPA, ranking of the bachelor's-awarding university, research/work/teaching experience and a statement on contributing to sustainable development.",NOT_FOUND (the supporting documents used for the assessment must be submitted to universityadmissions.se by the document deadline of 2 February),"After the universityadmissions.se programme application - the scholarship form on the KTH page is separate, and the underlying documents must already be in by the 2 February document deadline",apply via university (separate scholarship form on the KTH website after the national application),https://www.kth.se/en/studies/master/admissions/scholarships/kth-scholarship-1.72827,2026-08-16,high
Lund University Global Scholarship,Lund University,institutional,Sweden,Lund University,A,tuition,NOT_FOUND (grants may cover part or all of the tuition fee; the percentage depends on the programme/faculty budget. Lund non-EU master fee 13638 EUR/year). Covers tuition fees only.,NOT_FOUND,yes,Eligibility clause: 'You must be a citizen of a country from outside the EU/EEA (and Switzerland) and be required to pay tuition fees.' The Lund programme applied for must be the FIRST CHOICE in the universityadmissions.se application. Applicants who cannot secure living-cost funding for the Swedish Migration Agency requirement are told not to apply. Approximately SEK 26 million awarded each year.,2026-02-16 PRIOR_CYCLE (the application usually opens in early February each year),"After the universityadmissions.se programme application - a complete application and paid application fee are prerequisites, then a separate scholarship portal application. Note the scholarship window is only about two weeks long.",apply via university (separate scholarship application portal),https://www.lunduniversity.lu.se/study/admission-degree-studies/scholarships-and-awards/lund-university-global-scholarship,2026-08-16,high
Jonkoping University (JU) Scholarship,Jonkoping University,institutional,Sweden,Jonkoping University,A,partial,3764 (30% of the tuition fee; JU non-EU master fee 12547 EUR/year),The duration of the programme,yes,Eligibility clause: the applicant must 'be a citizen of a country which is required to pay tuition fees in Sweden'; residency in the home country at the time of application is not required. Offered by Jonkoping University on behalf of the Swedish government. Requires admission to a JU bachelor's or master's programme.,2027-05-02 for autumn 2027 starts (scholarship application opens 2026-10-16 with the programme application),Opens at the same time as the programme application and closes after it - but a separate application is mandatory even if the programme application has already been made via universityadmissions.se,apply via university (separate application at smile.ju.se/public),https://ju.se/en/study-at-ju/application-and-admission/scholarships-and-funding/scholarships-from-jonkoping-university.html,2026-08-16,high
Malmo University Master's Scholarship,Malmo University,institutional,Sweden,Malmo University,B,tuition,NOT_FOUND (partial to full tuition fee waiver; Malmo non-EU master fee 14319 EUR/year). Does not cover living expenses.,NOT_FOUND,yes,For non-EU/EEA students required to pay tuition fees who are admitted to an English-taught master's programme at Malmo University listed as their FIRST CHOICE. Only a few students are granted scholarships each year.,NOT_FOUND (notifications are sent by the end of April),"Automatic after admission - candidates are considered on the basis of the admission application, no separate scholarship application is required",apply via university (automatic on admission),https://mau.se/en/education/scholarships/,2026-08-16,medium
